company_size,pricing_views,email_opens,industry,title,converted
356,6,0,Retail,Manager,0
2574,9,13,Manufacturing,CEO,1
3431,4,3,Retail,Manager,0
2670,2,14,Healthcare,Manager,0
3587,1,7,Retail,Coordinator,0
3290,8,2,Retail,VP,1
2791,3,10,Finance,Manager,0
4191,10,3,Manufacturing,Coordinator,0
1598,5,11,Finance,Director,1
852,2,8,Finance,Director,0
4944,2,2,Finance,CEO,0
3810,9,14,Manufacturing,Coordinator,1
2657,10,10,Finance,CEO,1
569,7,14,Healthcare,VP,1
4854,0,11,Manufacturing,Manager,0
2552,7,14,SaaS,Manager,1
3030,4,2,SaaS,Coordinator,0
4876,8,12,Retail,Coordinator,1
4550,0,14,Manufacturing,Director,1
2643,9,15,Manufacturing,Director,1
516,7,3,Healthcare,Manager,0
4143,10,5,SaaS,Director,1
3596,7,5,Healthcare,VP,1
2327,6,13,Healthcare,Coordinator,1
438,10,10,SaaS,VP,1
784,8,12,Healthcare,VP,1
4947,2,10,SaaS,Coordinator,0
1168,5,9,Retail,Director,1
4884,1,9,Manufacturing,CEO,1
2700,2,2,Retail,Coordinator,0
2974,0,11,Healthcare,Director,0
1764,5,15,Finance,Director,1
1136,2,2,Healthcare,Manager,0
4168,8,1,Healthcare,Coordinator,0
1083,9,12,Finance,Director,1
1491,9,5,Retail,Manager,0
3375,5,7,Retail,Coordinator,0
2344,7,7,Manufacturing,Director,1
2545,7,6,Healthcare,Coordinator,0
3619,7,9,Retail,Coordinator,0
4330,6,5,Finance,Coordinator,0
1143,4,1,Retail,VP,0
4552,1,3,Healthcare,Manager,0
1323,4,14,Manufacturing,Director,1
3593,1,7,Retail,VP,0
228,6,1,Retail,Coordinator,0
3073,3,12,SaaS,VP,1
1849,0,10,SaaS,VP,0
1206,2,1,Healthcare,CEO,0
1146,7,14,Manufacturing,Manager,1
659,0,8,Finance,Director,0
4505,9,13,SaaS,VP,1
1956,4,3,SaaS,Director,0
3449,10,14,SaaS,Manager,1
4104,9,0,Manufacturing,Coordinator,0
1991,2,9,Retail,Manager,0
2900,3,13,Finance,Manager,0
4298,5,2,Manufacturing,Coordinator,0
4166,8,0,Retail,CEO,1
366,10,12,Healthcare,VP,1
143,5,2,Healthcare,Director,0
859,9,10,Finance,Manager,1
2896,8,10,Finance,CEO,1
3930,10,5,Finance,Manager,0
3759,0,9,Finance,Manager,0
1644,0,10,Healthcare,Coordinator,0
3272,8,15,Healthcare,Manager,1
1575,4,11,SaaS,VP,1
2248,1,11,Retail,CEO,1
3612,6,10,Finance,CEO,1
4085,5,8,SaaS,CEO,1
656,6,5,Manufacturing,VP,1
2641,1,2,Healthcare,VP,0
2520,7,13,Finance,CEO,1
2889,7,1,Healthcare,Coordinator,0
3573,4,1,SaaS,CEO,0
2986,8,5,SaaS,Director,1
4987,10,14,SaaS,Director,1
560,3,11,Healthcare,CEO,1
4656,0,4,Retail,VP,0
3057,7,2,Manufacturing,Director,1
4347,5,12,Healthcare,VP,1
2054,1,0,Finance,CEO,0
4251,6,3,Healthcare,VP,1
3665,3,9,Retail,Director,1
1014,2,2,Retail,Director,0
3656,1,10,Healthcare,Manager,0
4515,8,9,Healthcare,Director,1
1436,5,7,SaaS,Director,1
1147,3,15,SaaS,VP,1
4548,9,11,Retail,Coordinator,1
1073,9,2,SaaS,VP,1
3271,7,13,Retail,Coordinator,1
614,2,10,SaaS,CEO,1
3826,10,11,Finance,Coordinator,1
4825,2,4,Retail,Coordinator,0
463,1,4,Healthcare,Director,0
1336,5,7,Healthcare,Coordinator,0
2336,1,8,Finance,Coordinator,0
2258,2,9,Manufacturing,Coordinator,0
775,8,5,Manufacturing,Coordinator,0
1273,2,10,Manufacturing,Manager,0
242,1,1,Manufacturing,VP,0
1736,9,13,Manufacturing,Manager,1
4089,10,9,Healthcare,CEO,1
2016,10,12,Healthcare,CEO,1
607,0,5,Retail,CEO,0
3976,7,6,Healthcare,Coordinator,0
1186,5,10,Healthcare,CEO,1
1081,5,3,Healthcare,Director,0
3831,1,8,Retail,Director,0
1164,1,1,Healthcare,CEO,0
3435,3,5,Healthcare,Coordinator,0
2571,3,5,Retail,Coordinator,0
3834,7,9,Retail,Manager,0
747,6,14,Finance,Director,1
4788,5,1,SaaS,VP,0
4064,9,15,Healthcare,Coordinator,1
76,1,13,Finance,VP,1
3006,6,11,SaaS,CEO,1
429,9,6,Healthcare,Coordinator,0
2374,1,12,Manufacturing,CEO,1
4514,4,3,Finance,Manager,0
3236,5,10,Manufacturing,VP,1
1191,3,12,Manufacturing,Manager,0
381,0,4,Healthcare,CEO,0
4264,7,4,Manufacturing,Coordinator,0
1155,5,10,Finance,CEO,1
2461,9,10,Manufacturing,Coordinator,1
4370,7,9,Retail,Manager,0
3027,5,3,Retail,Coordinator,0
2530,10,0,Manufacturing,CEO,1
2185,10,7,SaaS,Coordinator,1
3945,2,12,Finance,Director,1
268,9,3,Finance,Manager,0
3622,5,13,Finance,CEO,1
1680,6,15,SaaS,Director,1
4259,3,10,Retail,Coordinator,0
3096,5,5,Retail,Coordinator,0
2814,8,11,Healthcare,Coordinator,1
3976,3,7,Healthcare,Coordinator,0
2455,3,9,Healthcare,Director,1
4015,5,15,Healthcare,Coordinator,1
2250,4,3,Manufacturing,Coordinator,0
3120,6,11,Finance,VP,1
354,4,2,Healthcare,CEO,0
2110,7,6,Finance,Coordinator,0
2231,8,8,Finance,Manager,0
4817,3,7,SaaS,Coordinator,0
1858,10,7,SaaS,Manager,1
3395,5,15,SaaS,Director,1
52,8,5,Retail,CEO,1
3921,10,6,Healthcare,VP,1
2348,10,1,SaaS,Coordinator,0
1912,8,1,Finance,CEO,1
1450,0,12,Retail,Director,1
2381,0,0,Healthcare,Coordinator,0
4947,1,10,Healthcare,CEO,1
4460,8,15,Finance,Coordinator,1
3844,4,6,SaaS,VP,1
1341,7,8,Finance,Manager,0
2771,4,6,Finance,Coordinator,0
3331,6,10,SaaS,CEO,1
791,2,4,Retail,VP,0
2042,0,8,Retail,Director,0
3669,4,10,Healthcare,Coordinator,0
4703,0,8,Healthcare,Director,0
518,10,3,Retail,VP,1
1318,6,9,SaaS,VP,1
3020,9,7,Finance,Director,1
3927,2,14,Manufacturing,VP,1
3416,8,15,Manufacturing,Director,1
2037,10,2,Manufacturing,CEO,1
4336,5,2,Manufacturing,Manager,0
515,8,6,Manufacturing,Coordinator,0
1237,2,10,Manufacturing,CEO,1
962,10,6,Manufacturing,CEO,1
754,8,14,SaaS,CEO,1
1090,8,13,Retail,Coordinator,1
482,8,14,Healthcare,Manager,1
3253,4,0,Finance,Coordinator,0
608,0,13,Healthcare,Manager,0
4443,0,2,Retail,Manager,0
2361,6,5,Finance,CEO,1
3077,6,14,Retail,CEO,1
667,10,4,Healthcare,Manager,0
1472,8,12,Manufacturing,Director,1
1834,0,0,Healthcare,CEO,0
4470,6,12,Finance,Director,1
3783,5,4,Healthcare,Director,1
934,0,13,Manufacturing,Manager,0
1981,3,2,SaaS,Coordinator,0
285,7,1,Finance,Manager,0
3305,7,7,Manufacturing,Director,1
472,2,9,Finance,Coordinator,0
2622,9,10,Finance,VP,1
1183,10,7,Retail,VP,1
2264,0,5,Retail,Coordinator,0
4070,0,11,Retail,Coordinator,0
2621,6,13,Finance,VP,1
3093,2,15,Finance,Director,1
2473,2,14,SaaS,Coordinator,0
3390,6,4,Retail,Director,1
2098,3,10,SaaS,CEO,1
3049,1,6,SaaS,VP,0
3099,10,1,SaaS,Director,1
4823,10,6,Retail,Director,1
2737,4,0,Finance,Director,0
971,7,7,Manufacturing,Director,1
3259,3,10,Healthcare,CEO,1
3829,8,11,Healthcare,VP,1
2956,8,15,Retail,Manager,1
3856,5,6,Healthcare,VP,1
3400,0,7,Finance,Manager,0
2146,8,13,Healthcare,Director,1
1617,5,7,Retail,Coordinator,0
2023,7,10,Healthcare,CEO,1
4028,7,5,Healthcare,Director,1
1156,8,15,Finance,Coordinator,1
491,8,1,SaaS,Manager,0
62,6,4,Finance,Manager,0
1247,0,6,Manufacturing,CEO,0
3067,0,15,Retail,Manager,0
64,8,13,SaaS,Manager,1
4346,4,9,SaaS,Coordinator,0
3537,2,3,SaaS,Coordinator,0
1229,3,6,Manufacturing,Coordinator,0
2077,5,8,Retail,Manager,0
3066,6,14,Manufacturing,Director,1
1860,4,2,SaaS,Manager,0
3330,6,12,Manufacturing,CEO,1
469,10,0,Finance,Manager,0
4104,6,10,Manufacturing,Manager,0
4336,0,7,Finance,Coordinator,0
3905,4,1,SaaS,VP,0
4458,9,1,Finance,VP,1
138,3,4,Retail,Manager,0
2461,2,7,Manufacturing,CEO,0
4438,5,12,Finance,Manager,0
4112,5,1,SaaS,CEO,0
1911,1,10,Manufacturing,Coordinator,0
4889,6,10,SaaS,VP,1
3700,7,7,Healthcare,Coordinator,0
3085,6,5,Manufacturing,CEO,1
712,9,9,Finance,Manager,1
682,4,4,Retail,Director,0
3201,5,11,SaaS,Manager,0
52,4,14,Healthcare,VP,1
847,2,2,Finance,CEO,0
3686,8,13,SaaS,Manager,1
744,5,2,Manufacturing,Coordinator,0
2667,6,0,Healthcare,CEO,0
3186,1,7,Manufacturing,Coordinator,0
1399,10,12,Finance,Director,1
2212,4,8,Retail,Director,1
528,2,13,Healthcare,CEO,1
2465,7,2,Healthcare,VP,1
2030,10,15,Manufacturing,Coordinator,1
1611,7,3,Finance,VP,1
65,6,10,Manufacturing,CEO,1
2709,7,10,Retail,Coordinator,0
1125,4,10,Manufacturing,Director,1
3934,5,5,Retail,VP,1
2397,10,15,Manufacturing,Director,1
2679,6,8,Retail,VP,1
942,9,6,Manufacturing,Coordinator,0
1483,10,0,Retail,Director,1
3601,4,2,Retail,CEO,0
1150,10,9,Finance,VP,1
1272,6,12,SaaS,CEO,1
4908,7,12,Manufacturing,Coordinator,1
3436,8,1,Healthcare,Coordinator,0
4874,10,2,SaaS,Director,1
2918,2,1,Manufacturing,CEO,0
2726,6,3,SaaS,Manager,0
2129,3,7,Retail,VP,1
3214,7,4,Healthcare,Manager,0
3964,1,9,Retail,Manager,0
960,2,11,Healthcare,VP,1
3740,3,15,Healthcare,CEO,1
809,7,14,Healthcare,Manager,1
2469,0,3,SaaS,VP,0
905,10,5,Finance,Coordinator,0
1439,8,5,Healthcare,Coordinator,0
3502,7,7,Retail,Director,1
1536,10,13,Retail,Manager,1
1626,7,13,Retail,Manager,1
1769,3,8,SaaS,Coordinator,0
843,8,5,Healthcare,VP,1
1624,7,3,Healthcare,CEO,1
4333,10,10,Manufacturing,CEO,1
3225,9,3,Healthcare,VP,1
3760,9,5,Healthcare,Coordinator,0
4844,1,4,Healthcare,Manager,0
1964,4,3,Finance,VP,0
1168,8,12,Retail,Coordinator,1
1139,9,12,Retail,Director,1
3996,10,5,Manufacturing,Director,1
4021,4,4,Finance,VP,0
3704,9,1,Healthcare,Manager,0
3979,2,6,Retail,Coordinator,0
4150,10,15,Retail,CEO,1
3414,7,15,Finance,Manager,1
4641,0,7,Healthcare,Manager,0
2261,3,9,Finance,CEO,1
4643,7,3,Manufacturing,Manager,0
2204,8,11,Manufacturing,Manager,1
3625,8,6,Retail,Manager,0
2037,4,1,Retail,VP,0
2865,1,14,SaaS,Director,1
1729,9,11,Manufacturing,CEO,1
1369,9,4,Finance,Director,1
496,9,11,Manufacturing,VP,1
4899,8,5,Healthcare,VP,1
2380,9,8,Manufacturing,Manager,1
1120,6,1,Healthcare,Director,0
1097,3,4,Healthcare,Director,0
3227,7,4,Manufacturing,VP,1
3403,6,14,SaaS,Manager,1
3310,8,8,Healthcare,CEO,1
4008,5,0,SaaS,CEO,0
2944,1,12,Finance,CEO,1
1745,7,8,Healthcare,VP,1
2776,8,4,Manufacturing,CEO,1
2825,10,1,SaaS,Manager,0
3774,0,3,Finance,CEO,0
3749,0,13,Finance,Director,1
2482,2,8,SaaS,VP,0
2061,1,11,Finance,Manager,0
3256,10,9,Finance,CEO,1
757,1,0,Finance,CEO,0
648,2,7,Manufacturing,CEO,0
86,0,10,SaaS,CEO,0
1092,7,2,Finance,CEO,1
741,1,3,Healthcare,VP,0
2461,2,12,Finance,Director,1
570,8,0,Manufacturing,Director,0
3615,5,6,Finance,CEO,1
3634,3,2,SaaS,Director,0
1018,9,12,Healthcare,CEO,1
2586,2,7,Healthcare,Manager,0
2042,8,9,SaaS,VP,1
1693,8,6,Retail,VP,1
457,3,15,Retail,Manager,0
1984,7,2,Manufacturing,Manager,0
2968,5,4,Retail,Coordinator,0
3457,5,5,Retail,Manager,0
146,9,2,SaaS,VP,1
1777,0,1,Retail,Coordinator,0
2356,10,13,Retail,CEO,1
685,10,4,Healthcare,Manager,0
2548,1,6,Finance,Coordinator,0
2686,6,2,Healthcare,CEO,0
1964,0,7,SaaS,CEO,0
960,7,1,Healthcare,Director,0
988,0,4,SaaS,Director,0
4076,5,8,Finance,VP,1
1049,4,3,SaaS,VP,0
3527,4,2,Healthcare,Coordinator,0
641,7,14,Manufacturing,VP,1
464,7,5,Healthcare,Director,1
2099,1,3,Finance,Coordinator,0
31,0,0,Finance,Manager,0
3874,5,12,Finance,Director,1
299,8,13,Finance,VP,1
2043,6,10,Healthcare,Manager,0
4692,5,3,Manufacturing,Manager,0
1479,3,1,Retail,Manager,0
3820,4,9,Healthcare,Manager,0
4540,7,0,Healthcare,Director,1
2398,9,9,Manufacturing,Director,1
3810,5,15,Finance,Coordinator,1
2018,2,0,Retail,Manager,0
1918,8,11,SaaS,VP,1
21,10,12,Healthcare,Manager,1
1690,8,7,Retail,CEO,1
500,2,8,SaaS,Manager,0
1906,8,13,Healthcare,CEO,1
705,9,3,Manufacturing,Director,1
3240,1,1,Retail,Director,0
1949,4,8,Healthcare,CEO,1
2682,5,14,Healthcare,Director,1
621,3,4,Manufacturing,Manager,0
1283,1,5,Retail,CEO,0
2582,6,3,Manufacturing,VP,1
1710,7,9,Retail,VP,1
992,1,5,Healthcare,Coordinator,0
340,3,10,Finance,Manager,0
2043,5,12,Manufacturing,Manager,0
2458,4,5,SaaS,CEO,0
3714,8,7,SaaS,CEO,1
844,2,3,SaaS,Manager,0
1830,2,6,Retail,VP,0
698,9,8,SaaS,Manager,0
538,3,14,Finance,Manager,0
2726,1,1,Retail,Manager,0
1386,9,13,Retail,CEO,1
251,6,13,Finance,VP,1
1768,2,8,Healthcare,CEO,0
1227,0,7,Healthcare,CEO,0
3385,8,15,SaaS,Manager,1
2301,6,4,Retail,Director,1
4317,3,0,Retail,VP,0
3939,8,15,Healthcare,Coordinator,1
4125,5,12,Healthcare,Director,1
223,5,7,SaaS,VP,1
489,7,11,Manufacturing,Director,1
1317,1,7,Finance,VP,0
4381,0,7,Manufacturing,CEO,0
2916,2,5,Finance,Coordinator,0
2615,5,0,Healthcare,Coordinator,0
4627,2,6,Retail,Coordinator,0
2541,2,15,SaaS,Manager,0
470,3,7,SaaS,Coordinator,0
3925,0,10,Manufacturing,Director,0
1078,5,5,Healthcare,Manager,0
189,2,4,SaaS,Coordinator,0
2999,1,11,Retail,Coordinator,0
837,5,9,Healthcare,Director,1
1300,6,15,Healthcare,Director,1
4613,9,11,Finance,Coordinator,1
1446,6,9,Healthcare,Director,1
1465,0,12,Manufacturing,Manager,0
1501,9,10,Manufacturing,Director,1
4642,1,15,Finance,VP,1
647,3,11,Healthcare,Director,1
736,10,10,Retail,Manager,1
2182,3,7,SaaS,VP,1
2112,1,0,SaaS,CEO,0
3599,6,5,Retail,CEO,1
3112,5,12,SaaS,CEO,1
4745,10,7,Finance,CEO,1
613,0,9,SaaS,VP,0
2149,1,2,Healthcare,Director,0
3085,2,2,Manufacturing,Manager,0
2778,9,15,SaaS,CEO,1
1361,9,13,Finance,Manager,1
839,5,6,Finance,CEO,1
4549,8,8,Healthcare,VP,1
1955,1,1,Retail,Coordinator,0
4512,7,4,SaaS,VP,1
41,6,2,Healthcare,Coordinator,0
3944,3,3,SaaS,Director,0
1409,10,9,SaaS,CEO,1
956,4,12,Retail,CEO,1
2180,1,12,Finance,VP,1
3134,5,5,Retail,Manager,0
2166,7,14,Healthcare,Director,1
2210,9,1,Finance,Manager,0
712,10,11,Manufacturing,CEO,1
4841,3,1,Retail,Coordinator,0
3439,8,15,Manufacturing,Director,1
3911,4,2,Retail,Manager,0
4123,9,4,SaaS,CEO,1
1426,2,6,Finance,Director,0
359,6,2,Retail,Director,0
1221,9,8,Healthcare,Manager,0
722,6,12,Manufacturing,VP,1
2272,8,14,SaaS,Coordinator,1
4823,8,13,SaaS,CEO,1
1235,2,3,SaaS,Coordinator,0
837,4,11,Retail,VP,1
3147,10,15,Manufacturing,Coordinator,1
3885,0,5,Healthcare,CEO,0
1188,9,12,SaaS,CEO,1
2725,3,1,Retail,VP,0
3061,0,10,Healthcare,VP,0
2306,7,3,Finance,Director,1
2471,7,10,Healthcare,CEO,1
4965,10,2,Finance,CEO,1
1741,6,15,Manufacturing,VP,1
470,8,5,SaaS,VP,1
4161,6,4,Manufacturing,Coordinator,0
247,2,6,Finance,Manager,0
2053,0,14,SaaS,VP,1
1641,4,11,Retail,Coordinator,0
3261,10,3,SaaS,Director,1
3061,7,14,Finance,CEO,1
4817,8,11,Healthcare,Director,1
2128,1,9,SaaS,CEO,0
416,2,6,Finance,Director,0
1703,4,13,Manufacturing,Manager,0
82,7,4,Finance,Coordinator,0
79,3,8,Manufacturing,VP,1
2265,6,12,Healthcare,CEO,1
2074,3,14,Healthcare,Coordinator,0
3263,9,3,SaaS,Coordinator,0
3075,8,9,Healthcare,Manager,1
